City,Zipcode,Price Index,Median Household Income Last_12,City Park Scores,Crime Data City Level (Arrest Disposition),Distance from Irvine Spectrum (km)
San Clemente,92672,1441554.149,75392.0,5.37,1054.0,25.45274258
Santa Ana,92701,718156.0686,44846.0,1.1,3247.0,28.13528978
Placentia,92870,935456.9195,78923.0,215.0,1026.0,29.15623444
San Juan Capistrano,92675,1105488.777,73373.0,32.9,562.0,16.09615
Irvine,92606,1222511.426,91777.0,18.85,4864.0,11.65765082
Irvine,92614,1309438.588,94442.0,18.85,4864.0,11.21700261
La Habra,90631,762051.905,66985.0,2.11,1502.0,38.93544668
La Palma,90623,999504.5322,84218.0,2.35,345.0,32.5113
Newport Beach,92625,3386156.754,112727.0,5.86,1914.0,15.64295806
Laguna Beach,92651,2701511.963,99893.0,15.52,449.0,12.83523836
Seal Beach,90740,804377.5335,50648.0,4.98,683.0,38.01587126
Los Alamitos,90720,1340053.408,90000.0,3.17,365.0,37.86476016
Laguna Niguel,92677,1209596.663,100480.0,2.54,737.0,13.01531934
Lake Forest,92630,997361.3543,85419.0,3.64,1017.0,3.691298164
Mission Viejo,92692,1007389.157,98022.0,7.2,1202.0,6.977081494
Laguna Hills,92653,1003776.708,87131.0,2.34,481.0,5.595018122
Newport Beach,92660,2888447.119,113054.0,5.86,1914.0,15.51766646
Newport Beach,92657,3973773.724,155579.0,5.86,1914.0,12.51954102
Irvine,92602,1631778.812,105587.0,18.85,4864.0,10.54726026
Irvine,92618,1928192.172,88823.0,18.85,4864.0,9.35820541
Irvine,92612,879710.2736,71544.0,18.85,4864.0,11.14566448
Stanton,90680,667684.4616,53774.0,0.62,960.0,33.83194761
Fullerton,92832,897654.4354,58443.0,6.49,4295.0,32.19784413
Tustin,92780,948236.1869,64824.0,1.35,2138.0,15.27646227
Fountain Valley,92708,1129938.289,81250.0,2.89,1338.0,23.6741669
Garden Grove,92843,834290.8832,51966.0,1.0,4249.0,25.63612964
Anaheim,92802,690650.1117,52289.0,1.5,12231.0,24.36125662
Anaheim,92801,625127.9375,47348.0,1.5,12231.0,24.39964781
Anaheim,92806,805667.6963,58116.0,1.5,12231.0,25.53208179
Anaheim,92804,808569.9822,53080.0,1.5,12231.0,29.61338037
Anaheim,92805,814545.8065,52557.0,1.5,12231.0,28.70623344
Anaheim,92808,754662.0265,106892.0,1.5,12231.0,28.69433041
Brea,92821,981251.2658,80023.0,2.98,1640.0,35.25424033
Buena Park,90621,799359.5192,54607.0,1.02,2599.0,36.53453475
Laguna Woods,92637,412546.2531,34789.0,0.21,96.0,3.602332589
Cypress,90630,914587.3185,83360.0,1.83,1045.0,28.99965732
Dana Point,92629,1435674.711,85068.0,2.89,461.0,19.33304132
Costa Mesa,92626,1143150.192,75674.0,6.1,4573.0,18.01586112
Villa Park,92861,1910864.672,150918.0,0.0,63.0,21.69366622
Aliso Viejo,92656,865533.4191,97807.0,1.95,396.0,8.139576748
Huntington Beach,92688,2001243.677,100388.0,3.83,4900.0,34.61078454
Huntington Beach,92704,1726984.849,58186.0,3.83,4900.0,26.6513474
Westminster,92683,909530.5307,56725.0,0.95,3025.0,28.86292132
Huntington Beach,92649,1121376.603,82859.0,3.83,4900.0,26.62004619
Fullerton,92807,1452615.829,94165.0,6.49,4295.0,38.18758955
Yorba Linda,92886,1190135.662,105448.0,2.74,773.0,29.09792382
